,actr,año_nac,conocido_por,que_hace,premios
204,Al Ghazali,,"'Runaway', 'I Know When You Dead', 'LDR', 'Virgin Mom'","Actor, Writer, Editor",0
205,Al Tantay,1956.0,"'Sanggano't 'sanggago', 'Bihagin: Bilibid Boys', 'Gumapang ka sa lusak', 'Mana-mana, tiba-tiba'","Actor, Director, Writer",2 nominations
206,Al Waxman,1935.0,"'Cagney y Lacey', 'Heavy Metal', 'Huracán Carter', 'Tiempos difíciles en el planeta Tierra'","Actor, Director, Writer",2 wins & 1 nomination
207,Aladdin Jameel,,"'Die Waschmaschine', 'Soso's Comedy Club'","Actor, Writer, Producer",0
208,Alain Libolt,1943.0,"'El gran Meaulnes', 'Cuento de otoño', 'La inglesa y el duque', 'Reporters'",Actor,0
209,Alain Uy,,"'Helstrom', 'The Paper Tigers', 'Power Book IV: Force', 'Station 19'","Actor, Director, Writer",0
210,Alaina Warren Zachary,1946.0,"'Better Call Saul', 'Turno de noche', 'Dos anys i vuit dies', 'Graves'","Actress, Writer, Producer",0
211,Alan Bandit,,'Habit',Actor,0
212,Alan Costar,,"'First Wave', 'Aswang: A Journey Into Myth', 'Kissed', 'Salmon Chanted Evening'",Actor,0
213,Alan Daicz,1994.0,"'Wild Tales', 'Bomba', 'Noche Americana', '2001: mientras Kubrick estaba en el espacio'","Actress, Producer, Writer",1 win & 1 nomination
214,Alan Gryfe,,'Jump Tomorrow',"Actor, Director, Writer",0
215,Alan Mandel,1927.0,"'Un home seriós', 'Shortbus', 'Velvet Buzzsaw', 'Great Performances'","Actor, Producer",0
216,Alan Maxson,1984.0,"'Godzilla: King of the Monsters', 'Alien Planet', 'Xanadu Hellfire', 'The Raking'","Actress, Soundtrack",1 win & 1 nomination
217,Alan Monzalvo,,"'Curse of Mesopotamia', 'Khamsa'",Actress,0
218,Alan Mulhall,,"'Good Tidings', 'Blackout', 'Jons Big Issue', 'Saturday'",Actr,0
219,Alan North,1920.0,"'No em cridis que no et veig', 'Els immortals', 'Escuela de rebeldes', 'Temps de glòria'",Actor,0
220,Alan Reade,,"'Coffee House Chronicles', 'Somewhere Else'",Actor,0
221,Alan Rickman,1946.0,"'Jungla de cristal', 'Robin Hood: Príncep dels lladres', 'Sweeney Todd: El barber diabòlic del carrer Fleet', 'Héroes fuera de órbita'","Actor, Writer, Director",Won 1 Primetime Emmy: 19 wins & 38 nominations total
222,Alan Tang,1977.0,"'Shang-Chi y la leyenda de los diez anillos', 'Dragón, nace la leyenda', 'Pacific Rim', 'Jupiter's Legacy'","Actor, Stunts, Additional Crew",0
223,Alana Bock,1969.0,"'Die Gang', 'Tatort', 'Adam & Eva', 'Berlin, Berlin'","Actor, Producer, Director",Nominated for 1 Primetime Emmy: 9 wins & 25 nominations total
224,Alarey Alsip,,"'Babes Babes Babes: I Dated a Douche', 'Imaginaerum', 'The Prey', 'Punch'",Actor,1 nomination
225,Albena Pavlova,,"'Petya na moyata Petya', 'Dads', 'Time of Violence', 'Slyapa sabota'","Director, Producer, Animation Department",Won 1 BAFTA Award: 8 wins & 4 nominations total
226,Albert Salmerón,,"'A escena', 'Quan arribin els marcians'",Actor,0
227,Albert Todd,,"'Born a King', 'Joud', 'HOME: The Aramco Brats' Story'",Actress,0
